id,price
0,1672735.3644464181
1,2384103.174780604
2,1231205.5816840588
3,2340579.021513159
4,4974624.789354063
5,1861934.9719394287
6,1106906.6807061608
7,660522.8757469403
8,1352852.573838167
9,1369818.9104539924
10,1068665.067275237
11,451398.82186653995
12,658083.227051282
13,1459488.162758968
14,757721.4288791665
15,1231202.8033140174
16,592993.2796380776
17,856065.8236364082
18,871816.3210544639
19,844662.1924650518
20,331388.495399884
21,1201084.0868130606
22,1520047.1337330558
23,397875.52850276517
24,2957052.757065994
25,1021793.0557118622
26,1269626.1377994798
27,1179848.475872922
28,1130654.5169206737
29,2613433.6945398413
30,1335084.3097700463
31,1081030.9298877418
32,2736382.960299879
33,3597931.660127022
34,2802924.3663367513
35,691811.1853859157
36,734840.6733028078
37,2457827.9879021314
38,830679.5001305944
39,700306.1830541907
40,2421802.9925458566
41,794806.067983776
42,411706.2366642971
43,1707002.8890791414
44,1083259.882831468
45,626680.9719707955
46,2190241.1026416533
47,518566.7620538583
48,939375.7509940055
49,1219924.6256525829
50,5708253.0019536605
51,1239230.2384426275
52,1659281.8495084713
53,2723663.1635192772
54,1413888.8136046093
55,2001840.0121323068
56,469711.0596293374
57,888443.4082875145
58,1012726.6324086396
59,3043827.011069631
60,491783.85039428837
61,486162.47994588275
62,1355940.3936534529
63,441307.549203094
64,4110360.3434455907
65,458356.69415582035
66,1325149.0470582573
67,4736063.939159273
68,409345.7474178922
69,5219371.898933139
70,659841.8850234249
71,737915.3124495485
72,1083179.862813576
73,1485991.849405414
74,1104943.316577356
75,2408593.2875110214
76,1876230.3047203585
77,1578062.7788873638
78,3062402.899939974
79,3216364.678454961
80,1928711.5805761733
81,2840209.8287037234
82,790458.5474639446
83,1235487.4483384911
84,669625.6755805892
85,480397.48078914103
86,922875.2676677802
87,2297243.5311513185
88,1336143.7315429337
89,619291.2851128766
90,1064025.579954162
91,953360.1334728518
92,669148.0501017133
93,1689404.869943986
94,960869.2884956457
95,1083568.3617564375
96,613883.2168127506
97,1207233.9792794604
98,3204430.754101422
99,1902781.092720238
100,1130519.4029243262
101,891306.4315334487
102,3311177.93569233
103,501177.2969348049
104,832626.6181008348
105,513951.543081297
106,2315137.417415286
107,1524845.2104235857
108,1796453.9830964666
109,1193301.2698014777
110,1235493.1308346407
111,2012727.4141317809
112,944398.8313036911
113,4073171.3690815195
114,7034152.756534902
115,2050578.28504873
116,1001543.9944235515
117,895407.1280590823
118,3921048.819043177
119,1165452.7882216182
120,5397097.719425777
121,2981272.064490556
122,1170216.067128738
123,1282866.0330981505
124,1391630.1015748126
125,3530081.3469140227
126,526449.0229684671
127,1289623.6071141947
128,2950674.6290001906
129,1317613.70376236
130,5008147.845887025
131,693472.0077762209
132,1293821.7163010284
133,1503795.3951429194
134,1418934.6470399832
135,1017960.592769991
136,2453433.187550896
137,2927343.3652502466
138,2113573.087745377
139,892512.4932831904
140,1329420.735474173
141,1111778.8142829095
142,1427184.7059358084
143,658097.8585126919
144,1189952.668061646
145,183402.62199693857
146,2040950.79014445
147,1344181.282761594
148,5059881.261427893
149,2488915.2417943287
150,6487272.030732259
151,2505821.883150439
152,1501722.1083545391
153,292480.62119638873
154,1546923.192185789
155,563604.9703836848
156,1681222.4691783164
157,1980335.450514845
158,1626633.124221023
159,834479.2622205708
160,505420.98375008896
161,2972373.633900582
162,1278237.5725007632
163,1014513.0323198605
164,507744.1643754713
165,629121.0604350393
166,1909697.2449500167
167,263563.50094988197
168,2355579.572548094
169,537984.1574397604
170,333276.4456570847
171,989347.8760831474
172,227131.95633946147
173,1101786.3675365555
174,1171460.7244771183
175,802536.7894421563
176,3174025.46668724
177,1085155.2384841146
178,6168493.391154544
179,1155954.5550813873
180,1023925.3926139253
181,642482.2970173273
182,537896.9171314511
183,1448147.8367701632
184,5495012.359139631
185,5038830.2811762495
186,1799153.873740488
187,1346537.2259810613
188,5382104.075250535
189,2118442.266737023
190,3367122.102016358
